,asofdate,pnl
0,1971-02-17 01:00:00+00:00,0.0
1,1971-02-18 01:00:00+00:00,0.0
2,1971-02-19 01:00:00+00:00,0.0
3,1971-02-22 01:00:00+00:00,0.0
4,1971-02-23 01:00:00+00:00,0.0
5,1971-02-24 01:00:00+00:00,0.0
6,1971-02-25 01:00:00+00:00,0.0
7,1971-02-26 01:00:00+00:00,0.0
8,1971-03-01 01:00:00+00:00,0.0
9,1971-03-02 01:00:00+00:00,0.0
10,1971-03-03 01:00:00+00:00,2.125
11,1971-03-04 01:00:00+00:00,1.75
12,1971-03-05 01:00:00+00:00,1.0
13,1971-03-08 01:00:00+00:00,1.25
14,1971-03-09 01:00:00+00:00,0.375
15,1971-03-10 01:00:00+00:00,-1.625
16,1971-03-11 01:00:00+00:00,-2.0
17,1971-03-12 01:00:00+00:00,-2.25
18,1971-03-15 01:00:00+00:00,-1.875
19,1971-03-16 01:00:00+00:00,1.125
20,1971-03-17 01:00:00+00:00,2.875
21,1971-03-18 01:00:00+00:00,2.375
22,1971-03-19 01:00:00+00:00,4.875
23,1971-03-22 01:00:00+00:00,4.75
24,1971-03-23 01:00:00+00:00,1.75
25,1971-03-24 01:00:00+00:00,-1.75
26,1971-03-25 01:00:00+00:00,-1.625
27,1971-03-26 01:00:00+00:00,1.5
28,1971-03-29 01:00:00+00:00,1.0
29,1971-03-30 01:00:00+00:00,0.125
30,1971-03-31 01:00:00+00:00,3.25
31,1971-04-01 01:00:00+00:00,3.5
32,1971-04-02 01:00:00+00:00,3.625
33,1971-04-05 01:00:00+00:00,4.75
34,1971-04-06 01:00:00+00:00,5.625
35,1971-04-07 01:00:00+00:00,1.5
36,1971-04-08 01:00:00+00:00,1.5
37,1971-04-12 01:00:00+00:00,0.875
38,1971-04-13 01:00:00+00:00,0.5
39,1971-04-14 01:00:00+00:00,1.5
40,1971-04-15 01:00:00+00:00,-3.0
41,1971-04-16 01:00:00+00:00,-2.125
42,1971-04-19 01:00:00+00:00,-1.25
43,1971-04-20 01:00:00+00:00,-1.75
44,1971-04-21 01:00:00+00:00,0.25
45,1971-04-22 01:00:00+00:00,0.0
46,1971-04-23 01:00:00+00:00,0.0
47,1971-04-26 00:00:00+00:00,0.0
48,1971-04-27 00:00:00+00:00,0.0
49,1971-04-28 00:00:00+00:00,0.0
50,1971-04-29 00:00:00+00:00,-3.0
51,1971-04-30 00:00:00+00:00,-0.125
