,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close
0,2014-12-02 00:00:00+00:00,-655.1654307757727,-641.047714425727,-649.4847542073192,0.02659510051079441,0.004211826848039036,0.9940116511180604,5,True,252,500,1,1,0 days 00:00:00.147019,bitcoin,0.17280224380450573,0.17064635072858356
1,2014-12-10 00:00:00+00:00,-655.7194423389309,-641.6017259888852,-650.0387657704773,0.026415284085016637,0.004202837724433019,0.9931202967579088,5,True,252,500,1,1,0 days 00:00:00.227004,bitcoin,0.17936508849562824,0.17774309841930783
2,2015-01-14 00:00:00+00:00,-835.8921629982771,-821.7744466482313,-830.2114864298235,0.022249123857146443,0.002094811449586444,0.7134964554727321,5,True,252,500,1,1,0 days 00:00:00.273999,bitcoin,0.23434779680377185,0.21079734106611497
3,2015-01-20 00:00:00+00:00,-1080.6913051394067,-1066.573588789361,-1075.0106285709533,0.018569062250673715,0.0007785823757796542,1.0150221315314203,5,True,252,500,1,1,0 days 00:00:00.281915,bitcoin,0.2962499555437767,0.26803209574851034
4,2015-01-25 00:00:00+00:00,-1090.0307404651767,-1075.913024115131,-1084.3500638967232,0.01791212698422596,0.0007505083005113303,1.0129520948187474,5,True,252,500,1,1,0 days 00:00:00.278000,bitcoin,0.2782289201426257,0.2556780781528411
5,2015-01-30 00:00:00+00:00,-1117.86289941234,-1103.7451830622945,-1112.1822228438866,0.017043881089645913,0.0006718877797660434,1.0073497655624843,5,True,252,500,1,1,0 days 00:00:00.279000,bitcoin,0.2725194667739622,0.2510644004662826
6,2015-02-04 00:00:00+00:00,-1127.4031977779327,-1113.2854814278871,-1121.7225212094793,0.01661075421139021,0.0006468886933918481,1.0110201064346205,5,True,252,500,1,1,0 days 00:00:00.289219,bitcoin,0.3070596506337212,0.28651148644306895
7,2015-02-09 00:00:00+00:00,-1128.6407002588235,-1114.5229839087779,-1122.96002369037,0.016536007214844543,0.0006436232027625207,1.0131542179197455,5,True,252,500,1,1,0 days 00:00:00.234797,bitcoin,0.34636723178072903,0.32725191214959426
8,2015-02-14 00:00:00+00:00,-1141.3242178980486,-1127.206501548003,-1135.643541329595,0.016275318425906384,0.0006122283188558758,1.022151893662882,5,True,252,500,1,1,0 days 00:00:00.280993,bitcoin,0.43872356069230806,0.4209620702799376
9,2015-02-19 00:00:00+00:00,-1152.5496875511594,-1138.4319712011138,-1146.869010982706,0.016071431197840273,0.0005853865220532674,1.0233145783437516,5,True,252,500,1,1,0 days 00:00:00.383001,bitcoin,0.7532914316343612,0.7406760060604672
10,2015-02-24 00:00:00+00:00,-1115.1270383564429,-1101.0093220063973,-1109.4463617879894,0.01734886259999542,0.000679102664510231,1.0058084918818744,5,True,252,500,1,1,0 days 00:00:00.284001,bitcoin,0.4031420480118047,0.38645193610187184
